Sushi,100,8,15,20,5,8
Steak,200,2,40,30,2,1
Sandwhich,450,2,30,24,6,17
Cupcake,240,1,36,11,24,13
Cookie,150,1,20,1,40,0
Chicken,180,2,12,25,2,2
Pork,500,51,52,25,310,12
Kanapka,300,3,20,16,3,10
Rosół,250,1,35,20,5,21
Kurczak,420,3,10,42,7,17
Ryż,190,4,9,37,2,21
Surówka,150,2,13,25,5,30
Jagnięcina,500,1,29,43,2,13
Frytki,350,6,32,30,4,8
Indyk,500,1,21,12,5,14
Krupnik,350,1,32,21,6,32
Kasza,220,2,11,36,3,11
Owoce,150,8,10,40,5,19
Jajecznica,280,2,14,32,6,23
Makaron,420,2,27,38,6,16
Jogurt,280,2,14,30,5,13
